wavenumber         DET0         DET1
     -70.0     0.003566     0.003752
     -69.9     0.003558     0.003761
     -69.8     0.003548     0.003773
     -69.7     0.003539     0.003786
     -69.6     0.003530     0.003798
     -69.5     0.003522     0.003811
     -69.4     0.003515     0.003825
     -69.3     0.003509     0.003838
     -69.2     0.003504     0.003850
     -69.1     0.003500     0.003863
     -69.0     0.003498     0.003875
     -68.9     0.003497     0.003887
     -68.8     0.003497     0.003898
     -68.7     0.003499     0.003909
     -68.6     0.003502     0.003919
     -68.5     0.003506     0.003928
     -68.4     0.003512     0.003936
     -68.3     0.003519     0.003943
     -68.2     0.003527     0.003950
     -68.1     0.003536     0.003955
     -68.0     0.003547     0.003960
     -67.9     0.003559     0.003964
     -67.8     0.003572     0.003967
     -67.7     0.003587     0.003969
     -67.6     0.003602     0.003970
     -67.5     0.003618     0.003971
     -67.4     0.003634     0.003971
     -67.3     0.003652     0.003970
     -67.2     0.003670     0.003969
     -67.1     0.003688     0.003967
     -67.0     0.003706     0.003964
     -66.9     0.003724     0.003961
     -66.8     0.003743     0.003958
     -66.7     0.003761     0.003954
     -66.6     0.003778     0.003949
     -66.5     0.003795     0.003944
     -66.4     0.003810     0.003939
     -66.3     0.003825     0.003933
     -66.2     0.003839     0.003928
     -66.1     0.003851     0.003922
     -66.0     0.003862     0.003916
     -65.9     0.003871     0.003911
     -65.8     0.003879     0.003905
     -65.7     0.003884     0.003900
     -65.6     0.003889     0.003895
     -65.5     0.003891     0.003891
     -65.4     0.003892     0.003887
     -65.3     0.003891     0.003884
     -65.2     0.003888     0.003882
     -65.1     0.003884     0.003880
     -65.0     0.003879     0.003879
     -64.9     0.003872     0.003879
     -64.8     0.003864     0.003879
     -64.7     0.003856     0.003880
     -64.6     0.003846     0.003881
     -64.5     0.003836     0.003883
     -64.4     0.003825     0.003886
     -64.3     0.003814     0.003890
     -64.2     0.003803     0.003894
     -64.1     0.003792     0.003898
     -64.0     0.003782     0.003903
     -63.9     0.003771     0.003910
     -63.8     0.003761     0.003916
     -63.7     0.003752     0.003923
     -63.6     0.003743     0.003931
     -63.5     0.003735     0.003940
     -63.4     0.003727     0.003950
     -63.3     0.003721     0.003960
     -63.2     0.003716     0.003971
     -63.1     0.003712     0.003983
     -63.0     0.003709     0.003995
     -62.9     0.003707     0.004008
     -62.8     0.003706     0.004023
     -62.7     0.003707     0.004036
     -62.6     0.003709     0.004051
     -62.5     0.003712     0.004066
     -62.4     0.003716     0.004082
     -62.3     0.003722     0.004098
     -62.2     0.003729     0.004112
     -62.1     0.003737     0.004128
     -62.0     0.003746     0.004142
     -61.9     0.003757     0.004156
     -61.8     0.003769     0.004170
     -61.7     0.003780     0.004182
     -61.6     0.003794     0.004194
     -61.5     0.003808     0.004204
     -61.4     0.003823     0.004213
     -61.3     0.003838     0.004221
     -61.2     0.003853     0.004227
     -61.1     0.003869     0.004231
     -61.0     0.003885     0.004234
     -60.9     0.003901     0.004236
     -60.8     0.003917     0.004236
     -60.7     0.003932     0.004235
     -60.6     0.003947     0.004232
     -60.5     0.003961     0.004228
     -60.4     0.003975     0.004222
     -60.3     0.003989     0.004216
     -60.2     0.004000     0.004209
     -60.1     0.004012     0.004201
     -60.0     0.004022     0.004193
     -59.9     0.004032     0.004184
     -59.8     0.004041     0.004176
     -59.7     0.004048     0.004168
     -59.6     0.004056     0.004159
     -59.5     0.004062     0.004152
     -59.4     0.004068     0.004145
     -59.3     0.004074     0.004139
     -59.2     0.004078     0.004134
     -59.1     0.004083     0.004130
     -59.0     0.004087     0.004128
     -58.9     0.004092     0.004126
     -58.8     0.004096     0.004127
     -58.7     0.004099     0.004129
     -58.6     0.004104     0.004133
     -58.5     0.004108     0.004138
     -58.4     0.004112     0.004145
     -58.3     0.004116     0.004154
     -58.2     0.004121     0.004164
     -58.1     0.004125     0.004176
     -58.0     0.004130     0.004188
     -57.9     0.004136     0.004203
     -57.8     0.004141     0.004219
     -57.7     0.004146     0.004234
     -57.6     0.004152     0.004251
     -57.5     0.004157     0.004268
     -57.4     0.004162     0.004286
     -57.3     0.004167     0.004304
     -57.2     0.004172     0.004321
     -57.1     0.004176     0.004338
     -57.0     0.004180     0.004354
     -56.9     0.004183     0.004370
     -56.8     0.004186     0.004386
     -56.7     0.004187     0.004399
     -56.6     0.004188     0.004412
     -56.5     0.004188     0.004424
     -56.4     0.004187     0.004435
     -56.3     0.004186     0.004445
     -56.2     0.004184     0.004454
     -56.1     0.004181     0.004462
     -56.0     0.004178     0.004469
     -55.9     0.004174     0.004475
     -55.8     0.004170     0.004481
     -55.7     0.004166     0.004485
     -55.6     0.004162     0.004490
     -55.5     0.004157     0.004494
     -55.4     0.004153     0.004498
     -55.3     0.004148     0.004501
     -55.2     0.004145     0.004505
     -55.1     0.004141     0.004508
     -55.0     0.004137     0.004512
     -54.9     0.004134     0.004516
     -54.8     0.004132     0.004520
     -54.7     0.004130     0.004525
     -54.6     0.004128     0.004530
     -54.5     0.004128     0.004535
     -54.4     0.004128     0.004540
     -54.3     0.004129     0.004546
     -54.2     0.004132     0.004552
     -54.1     0.004135     0.004559
     -54.0     0.004140     0.004565
     -53.9     0.004147     0.004572
     -53.8     0.004155     0.004579
     -53.7     0.004164     0.004586
     -53.6     0.004175     0.004592
     -53.5     0.004187     0.004599
     -53.4     0.004202     0.004606
     -53.3     0.004218     0.004613
     -53.2     0.004236     0.004619
     -53.1     0.004255     0.004626
     -53.0     0.004275     0.004632
     -52.9     0.004299     0.004638
     -52.8     0.004323     0.004644
     -52.7     0.004349     0.004649
     -52.6     0.004376     0.004654
     -52.5     0.004404     0.004659
     -52.4     0.004434     0.004663
     -52.3     0.004466     0.004667
     -52.2     0.004497     0.004670
     -52.1     0.004530     0.004673
     -52.0     0.004563     0.004675
     -51.9     0.004598     0.004677
     -51.8     0.004633     0.004679
     -51.7     0.004666     0.004681
     -51.6     0.004699     0.004682
     -51.5     0.004731     0.004684
     -51.4     0.004763     0.004686
     -51.3     0.004794     0.004688
     -51.2     0.004821     0.004692
     -51.1     0.004848     0.004696
     -51.0     0.004871     0.004701
     -50.9     0.004892     0.004708
     -50.8     0.004911     0.004717
     -50.7     0.004926     0.004727
     -50.6     0.004938     0.004739
     -50.5     0.004947     0.004753
     -50.4     0.004953     0.004768
     -50.3     0.004956     0.004786
     -50.2     0.004955     0.004804
     -50.1     0.004952     0.004825
     -50.0     0.004946     0.004845
     -49.9     0.004937     0.004868
     -49.8     0.004925     0.004892
     -49.7     0.004912     0.004916
     -49.6     0.004896     0.004940
     -49.5     0.004879     0.004965
     -49.4     0.004860     0.004990
     -49.3     0.004840     0.005016
     -49.2     0.004820     0.005041
     -49.1     0.004800     0.005066
     -49.0     0.004780     0.005090
     -48.9     0.004759     0.005115
     -48.8     0.004739     0.005140
     -48.7     0.004721     0.005162
     -48.6     0.004704     0.005185
     -48.5     0.004689     0.005206
     -48.4     0.004676     0.005227
     -48.3     0.004664     0.005247
     -48.2     0.004655     0.005264
     -48.1     0.004649     0.005280
     -48.0     0.004645     0.005294
     -47.9     0.004644     0.005308
     -47.8     0.004645     0.005319
     -47.7     0.004649     0.005328
     -47.6     0.004656     0.005336
     -47.5     0.004665     0.005342
     -47.4     0.004678     0.005348
     -47.3     0.004692     0.005352
     -47.2     0.004708     0.005355
     -47.1     0.004727     0.005358
     -47.0     0.004747     0.005361
     -46.9     0.004770     0.005365
     -46.8     0.004795     0.005369
     -46.7     0.004819     0.005373
     -46.6     0.004846     0.005378
     -46.5     0.004874     0.005384
     -46.4     0.004904     0.005392
     -46.3     0.004935     0.005400
     -46.2     0.004966     0.005409
     -46.1     0.004998     0.005419
     -46.0     0.005030     0.005430
     -45.9     0.005066     0.005442
     -45.8     0.005102     0.005454
     -45.7     0.005137     0.005466
     -45.6     0.005175     0.005479
     -45.5     0.005212     0.005491
     -45.4     0.005253     0.005505
     -45.3     0.005295     0.005518
     -45.2     0.005336     0.005531
     -45.1     0.005379     0.005545
     -45.0     0.005422     0.005558
     -44.9     0.005468     0.005573
     -44.8     0.005515     0.005587
     -44.7     0.005560     0.005602
     -44.6     0.005606     0.005617
     -44.5     0.005652     0.005633
     -44.4     0.005699     0.005649
     -44.3     0.005746     0.005667
     -44.2     0.005790     0.005685
     -44.1     0.005834     0.005703
     -44.0     0.005875     0.005723
     -43.9     0.005918     0.005745
     -43.8     0.005958     0.005768
     -43.7     0.005995     0.005792
